epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19072.1,1.14724,1.09498,1.48238,0.89551,0.83705,0.92365,0.57005,1.24396,0.79858,1.56074,0.005842,0.005842,0.005842
44,19525.1,1.14655,1.07818,1.48426,0.91119,0.88054,0.93268,0.59109,1.22542,0.76646,1.53448,0.005743,0.005743,0.005743
45,19980.6,1.15393,1.07158,1.47804,0.87092,0.89774,0.91662,0.57771,1.2049,0.78032,1.51176,0.005644,0.005644,0.005644
46,20436.8,1.16355,1.07207,1.48515,0.85481,0.88436,0.92382,0.59326,1.19113,0.79647,1.50765,0.005545,0.005545,0.005545
47,20892.1,1.12313,1.03984,1.45698,0.88261,0.90865,0.93281,0.5901,1.19712,0.75182,1.52418,0.005446,0.005446,0.005446
48,21352.9,1.14515,1.05809,1.47567,0.86181,0.90353,0.91656,0.59345,1.17685,0.75534,1.49619,0.005347,0.005347,0.005347
49,21810.5,1.12346,1.06432,1.46683,0.86866,0.88924,0.91714,0.57453,1.22172,0.7701,1.53241,0.005248,0.005248,0.005248
50,22283.4,1.12198,1.05922,1.46012,0.90902,0.87909,0.92598,0.59523,1.18408,0.74906,1.52559,0.005149,0.005149,0.005149
51,22780.5,1.13315,1.03902,1.46903,0.93398,0.88989,0.94551,0.61054,1.19598,0.73507,1.4856,0.00505,0.00505,0.00505
52,23221.6,1.12222,1.04441,1.46275,0.90148,0.9035,0.9478,0.60968,1.17555,0.72526,1.49434,0.004951,0.004951,0.004951
53,23643.3,1.1146,1.02391,1.4528,0.89785,0.87684,0.93549,0.59134,1.21423,0.72485,1.51398,0.004852,0.004852,0.004852
54,24044.6,1.10996,1.01414,1.45669,0.91479,0.88479,0.93536,0.6076,1.17739,0.72687,1.51549,0.004753,0.004753,0.004753
55,24455.9,1.1117,1.01402,1.44881,0.89875,0.90981,0.93074,0.60347,1.22299,0.67199,1.53157,0.004654,0.004654,0.004654
56,24870,1.10818,1.01159,1.4447,0.90307,0.88794,0.93398,0.59572,1.20167,0.75707,1.51919,0.004555,0.004555,0.004555
57,25282.3,1.107,1.00195,1.4395,0.90723,0.9134,0.94136,0.60649,1.18499,0.70388,1.49577,0.004456,0.004456,0.004456
58,25693.9,1.09363,0.98803,1.43728,0.91929,0.91484,0.94194,0.59326,1.20778,0.68609,1.49651,0.004357,0.004357,0.004357
59,26104.8,1.09312,1.00612,1.43631,0.88121,0.90643,0.92024,0.59011,1.20646,0.72112,1.50592,0.004258,0.004258,0.004258
60,26516.5,1.09618,1.01498,1.44556,0.92233,0.90672,0.9327,0.58514,1.23125,0.70907,1.51818,0.004159,0.004159,0.004159
61,26928.9,1.09154,0.98812,1.43354,0.90881,0.88932,0.94248,0.60752,1.15969,0.71698,1.44556,0.00406,0.00406,0.00406
62,27340,1.08572,0.98237,1.42904,0.8882,0.90022,0.93782,0.60144,1.16507,0.72702,1.48624,0.003961,0.003961,0.003961
63,27749,1.08669,0.97665,1.43736,0.89703,0.88192,0.9381,0.59589,1.18002,0.71558,1.46548,0.003862,0.003862,0.003862
64,28160.8,1.08277,0.9635,1.42505,0.88624,0.90151,0.9457,0.60119,1.1912,0.72499,1.50228,0.003763,0.003763,0.003763
65,28581.9,1.08498,0.97217,1.43014,0.89755,0.90299,0.93443,0.61865,1.15244,0.68237,1.43404,0.003664,0.003664,0.003664
66,29006.2,1.06531,0.96119,1.41372,0.89616,0.89945,0.92908,0.59399,1.17927,0.72081,1.48004,0.003565,0.003565,0.003565
67,29431.8,1.07054,0.95686,1.41639,0.90443,0.8926,0.92622,0.60448,1.15219,0.69736,1.45117,0.003466,0.003466,0.003466
68,29858.2,1.06588,0.93316,1.41001,0.9141,0.887,0.93944,0.59954,1.18133,0.69321,1.5037,0.003367,0.003367,0.003367
69,30283.3,1.05449,0.92021,1.39723,0.90177,0.90039,0.93351,0.59912,1.18319,0.7088,1.47126,0.003268,0.003268,0.003268
70,30707.8,1.06233,0.93269,1.40185,0.91767,0.90397,0.94051,0.6007,1.19896,0.68564,1.49175,0.003169,0.003169,0.003169
71,31132.8,1.05163,0.92669,1.39318,0.91237,0.91284,0.93652,0.58956,1.22748,0.69038,1.52964,0.00307,0.00307,0.00307
72,31558.2,1.04092,0.92204,1.39535,0.89509,0.91397,0.9411,0.59663,1.21032,0.69457,1.5157,0.002971,0.002971,0.002971
73,31982.9,1.05999,0.92674,1.40803,0.89679,0.89484,0.93915,0.6003,1.17554,0.71259,1.50666,0.002872,0.002872,0.002872
74,32407,1.05554,0.93738,1.40261,0.91327,0.91117,0.93926,0.60016,1.19827,0.67588,1.47546,0.002773,0.002773,0.002773
75,32829.2,1.04998,0.92824,1.4009,0.90401,0.90102,0.93601,0.60698,1.18394,0.67701,1.48513,0.002674,0.002674,0.002674
76,33255.2,1.04376,0.91843,1.3886,0.90857,0.91108,0.93884,0.60131,1.19788,0.68132,1.48947,0.002575,0.002575,0.002575
