epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23277.9,1.13331,1.06427,1.47533,0.89385,0.86607,0.9202,0.57824,1.24938,0.76261,1.58247,0.005842,0.005842,0.005842
44,23835.8,1.1229,1.04926,1.4648,0.833,0.87879,0.90191,0.57938,1.21135,0.84053,1.50142,0.005743,0.005743,0.005743
45,24345.8,1.13032,1.04773,1.46154,0.86619,0.91255,0.9381,0.59912,1.19824,0.74919,1.50519,0.005644,0.005644,0.005644
46,24902.4,1.13508,1.04277,1.47105,0.87391,0.9005,0.93967,0.59951,1.15365,0.76072,1.45764,0.005545,0.005545,0.005545
47,25436.5,1.12342,1.00838,1.45358,0.88884,0.92293,0.94959,0.60588,1.17994,0.72456,1.48839,0.005446,0.005446,0.005446
48,25996,1.12275,1.03616,1.46127,0.8726,0.88285,0.91996,0.58113,1.19833,0.78382,1.54444,0.005347,0.005347,0.005347
49,26508.3,1.09826,1.01795,1.44421,0.89385,0.91675,0.94092,0.59505,1.21182,0.7256,1.51167,0.005248,0.005248,0.005248
50,27066,1.11084,1.02497,1.45515,0.89502,0.88028,0.93304,0.60338,1.18864,0.77342,1.53021,0.005149,0.005149,0.005149
51,27601.6,1.11952,1.02046,1.45261,0.91755,0.87616,0.93855,0.61223,1.1635,0.68199,1.47986,0.00505,0.00505,0.00505
52,28159.5,1.10269,1.00464,1.44354,0.8875,0.91802,0.93216,0.59894,1.18188,0.72813,1.47016,0.004951,0.004951,0.004951
53,28693.2,1.1,0.98526,1.44122,0.89534,0.89032,0.93429,0.59338,1.21457,0.72397,1.50613,0.004852,0.004852,0.004852
54,29249.8,1.10198,0.99451,1.45176,0.88369,0.90825,0.94919,0.59039,1.20988,0.70717,1.54867,0.004753,0.004753,0.004753
55,29782.6,1.09563,0.99054,1.44082,0.8638,0.89011,0.93774,0.59618,1.20785,0.70774,1.51945,0.004654,0.004654,0.004654
56,30338.2,1.08122,0.98198,1.41871,0.89302,0.91232,0.94071,0.59569,1.1857,0.74207,1.50706,0.004555,0.004555,0.004555
57,30870.8,1.08269,0.97597,1.42689,0.89821,0.92154,0.9531,0.60348,1.1785,0.69273,1.46984,0.004456,0.004456,0.004456
58,31428.2,1.07522,0.95506,1.421,0.9273,0.90663,0.94685,0.59609,1.20469,0.69591,1.51645,0.004357,0.004357,0.004357
59,31961.7,1.07609,0.96949,1.42076,0.88942,0.91677,0.9462,0.60006,1.20846,0.70587,1.50924,0.004258,0.004258,0.004258
60,32517.3,1.07849,0.96642,1.42291,0.90552,0.89962,0.94053,0.6013,1.18904,0.69544,1.46948,0.004159,0.004159,0.004159
61,33028,1.07914,0.96118,1.42028,0.89392,0.89903,0.92936,0.58794,1.20057,0.75963,1.4909,0.00406,0.00406,0.00406
62,33586.4,1.07638,0.96866,1.42463,0.90679,0.89102,0.94201,0.60613,1.15092,0.69291,1.44753,0.003961,0.003961,0.003961
