epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7619.96,1.15688,1.12169,1.5022,0.87281,0.89039,0.91557,0.56578,1.25104,0.79196,1.5328,0.005842,0.005842,0.005842
44,7798.04,1.15632,1.09508,1.49943,0.87679,0.89531,0.93839,0.59255,1.19143,0.75336,1.51858,0.005743,0.005743,0.005743
45,7976.74,1.15239,1.09292,1.48655,0.87105,0.85534,0.9078,0.58344,1.20454,0.80059,1.51779,0.005644,0.005644,0.005644
46,8153.43,1.14449,1.08484,1.48422,0.86347,0.8707,0.90567,0.57024,1.19961,0.84476,1.49907,0.005545,0.005545,0.005545
47,8333.11,1.1332,1.06931,1.47896,0.87422,0.8634,0.90921,0.59061,1.13743,0.78714,1.45392,0.005446,0.005446,0.005446
48,8509.05,1.14271,1.09757,1.47823,0.87435,0.89907,0.93671,0.57648,1.22377,0.751,1.52109,0.005347,0.005347,0.005347
49,8686.81,1.1412,1.06058,1.47793,0.8974,0.90189,0.94651,0.59999,1.18106,0.74926,1.49948,0.005248,0.005248,0.005248
50,8865.53,1.13723,1.05136,1.46779,0.90886,0.89252,0.94783,0.58258,1.23107,0.74839,1.4947,0.005149,0.005149,0.005149
51,9045.03,1.12462,1.05009,1.4633,0.87772,0.89228,0.93983,0.59987,1.16534,0.74126,1.47166,0.00505,0.00505,0.00505
52,9224.44,1.11876,1.02351,1.46362,0.87312,0.8876,0.94523,0.60084,1.16279,0.7527,1.4663,0.004951,0.004951,0.004951
53,9403.98,1.11416,1.03242,1.45649,0.87325,0.89067,0.94244,0.60016,1.19021,0.74645,1.48469,0.004852,0.004852,0.004852
54,9584.11,1.11745,1.0466,1.45875,0.899,0.90411,0.93968,0.58608,1.22332,0.73922,1.51782,0.004753,0.004753,0.004753
55,9764.1,1.11052,1.04441,1.45979,0.89224,0.8934,0.94769,0.61072,1.19584,0.7156,1.51059,0.004654,0.004654,0.004654
56,9941.31,1.11981,1.03168,1.46501,0.87248,0.90811,0.92459,0.57759,1.20719,0.77268,1.47476,0.004555,0.004555,0.004555
57,10120,1.11337,1.00886,1.45377,0.91583,0.90646,0.94748,0.58905,1.19455,0.72972,1.46994,0.004456,0.004456,0.004456
58,10296.2,1.11107,1.0191,1.45423,0.8866,0.89331,0.945,0.60362,1.17912,0.73102,1.47684,0.004357,0.004357,0.004357
59,10473.7,1.08907,1.00506,1.43488,0.911,0.88139,0.94251,0.58925,1.19061,0.7173,1.47982,0.004258,0.004258,0.004258
60,10650.9,1.08532,0.99308,1.44017,0.90177,0.89568,0.93941,0.59674,1.17363,0.72013,1.49472,0.004159,0.004159,0.004159
61,10821.5,1.09523,0.99617,1.45077,0.90151,0.90634,0.94214,0.59015,1.21044,0.72018,1.50827,0.00406,0.00406,0.00406
62,10992.2,1.0908,0.98632,1.43185,0.8938,0.90637,0.95112,0.61769,1.16548,0.66898,1.4735,0.003961,0.003961,0.003961
63,11162.4,1.08793,0.98423,1.44206,0.92062,0.8758,0.9485,0.60643,1.17197,0.68766,1.46868,0.003862,0.003862,0.003862
64,11332.4,1.07809,0.97746,1.43531,0.88638,0.89241,0.94302,0.5992,1.16577,0.72273,1.45903,0.003763,0.003763,0.003763
65,11502.7,1.08235,0.96887,1.43182,0.86241,0.88704,0.94533,0.60486,1.16796,0.73059,1.45742,0.003664,0.003664,0.003664
66,11672.6,1.08135,0.97064,1.43642,0.9246,0.89658,0.95148,0.61042,1.13619,0.7037,1.45439,0.003565,0.003565,0.003565
67,11843.4,1.0877,0.97897,1.43679,0.91004,0.9093,0.95233,0.60537,1.1774,0.68397,1.48049,0.003466,0.003466,0.003466
68,12014.3,1.05821,0.9634,1.4142,0.87986,0.90981,0.94916,0.59883,1.20112,0.69653,1.49336,0.003367,0.003367,0.003367
69,12183.9,1.05917,0.94703,1.40512,0.90277,0.9002,0.94344,0.60941,1.17145,0.68547,1.47229,0.003268,0.003268,0.003268
70,12355,1.06673,0.93865,1.4215,0.89013,0.89936,0.93935,0.60228,1.17772,0.70287,1.47152,0.003169,0.003169,0.003169
71,12526,1.06359,0.94636,1.4184,0.87624,0.89758,0.93871,0.59926,1.16233,0.71539,1.49252,0.00307,0.00307,0.00307
72,12696,1.06311,0.94019,1.40566,0.90891,0.91677,0.94688,0.61186,1.16158,0.68203,1.47408,0.002971,0.002971,0.002971
73,12866.1,1.04259,0.92438,1.40611,0.91354,0.90641,0.94451,0.60416,1.15037,0.69087,1.45346,0.002872,0.002872,0.002872
74,13035.9,1.06418,0.93697,1.42214,0.90535,0.90323,0.9392,0.6029,1.18472,0.69782,1.47945,0.002773,0.002773,0.002773
