epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22117.9,1.15332,1.13046,1.5275,0.86155,0.88973,0.93118,0.58577,1.21664,0.81275,1.54728,0.005842,0.005842,0.005842
44,22656.8,1.14529,1.12733,1.52289,0.89414,0.86613,0.92883,0.58949,1.22369,0.77938,1.51452,0.005743,0.005743,0.005743
45,23206,1.14971,1.11925,1.51931,0.86038,0.86883,0.91758,0.58811,1.16598,0.80074,1.47787,0.005644,0.005644,0.005644
46,23752.2,1.16516,1.11444,1.53307,0.86328,0.90943,0.93798,0.58686,1.21668,0.78581,1.49866,0.005545,0.005545,0.005545
47,24291.7,1.1367,1.08694,1.50962,0.87448,0.8777,0.93353,0.62209,1.16406,0.74003,1.47012,0.005446,0.005446,0.005446
48,24841.8,1.14616,1.09024,1.52362,0.85245,0.90643,0.93252,0.60582,1.1591,0.73522,1.48343,0.005347,0.005347,0.005347
49,25398.7,1.13105,1.10817,1.52054,0.8458,0.90165,0.93536,0.58009,1.22269,0.75854,1.50438,0.005248,0.005248,0.005248
50,25944.1,1.12585,1.09747,1.50436,0.87606,0.87317,0.91893,0.59091,1.17551,0.76204,1.51485,0.005149,0.005149,0.005149
51,26455.6,1.13224,1.07714,1.50642,0.82153,0.89501,0.92498,0.58803,1.18209,0.78632,1.49434,0.00505,0.00505,0.00505
52,26953.9,1.12418,1.0887,1.50699,0.89489,0.88264,0.93664,0.59334,1.19965,0.74632,1.51803,0.004951,0.004951,0.004951
53,27451.3,1.11915,1.0664,1.5019,0.90428,0.84736,0.93685,0.59127,1.18773,0.76026,1.48428,0.004852,0.004852,0.004852
54,27951,1.11723,1.06102,1.50322,0.89108,0.88268,0.92588,0.61448,1.14029,0.73294,1.48786,0.004753,0.004753,0.004753
55,28449.2,1.11282,1.05526,1.4932,0.90978,0.88814,0.9406,0.60347,1.17391,0.71448,1.48017,0.004654,0.004654,0.004654
56,28947.1,1.11062,1.05331,1.48502,0.91064,0.88419,0.94867,0.60869,1.17877,0.75929,1.48795,0.004555,0.004555,0.004555
57,29447.2,1.11196,1.03821,1.48461,0.8598,0.93336,0.93544,0.59401,1.15537,0.74389,1.46434,0.004456,0.004456,0.004456
58,29947.2,1.10404,1.0226,1.48612,0.89003,0.91278,0.93723,0.59189,1.19451,0.73882,1.45941,0.004357,0.004357,0.004357
59,30445.9,1.10807,1.03519,1.48482,0.87398,0.87389,0.94006,0.59297,1.20711,0.7382,1.49215,0.004258,0.004258,0.004258
60,30946.8,1.10385,1.03765,1.49243,0.88369,0.87881,0.9386,0.5967,1.19477,0.71003,1.46931,0.004159,0.004159,0.004159
61,31434.8,1.09061,1.00872,1.46926,0.85643,0.8906,0.93656,0.59701,1.17789,0.74473,1.45776,0.00406,0.00406,0.00406
62,31924.9,1.09287,1.01222,1.47829,0.8196,0.91449,0.93701,0.60438,1.14762,0.74038,1.45874,0.003961,0.003961,0.003961
63,32424.2,1.08811,1.00848,1.47897,0.85779,0.90714,0.9359,0.60567,1.16575,0.71635,1.44246,0.003862,0.003862,0.003862
64,32924,1.0778,0.99402,1.46607,0.88871,0.87474,0.93842,0.60892,1.15315,0.71685,1.47372,0.003763,0.003763,0.003763
65,33421,1.09031,1.00024,1.47868,0.87192,0.90793,0.93993,0.60788,1.15697,0.71415,1.47163,0.003664,0.003664,0.003664
66,33922.7,1.06697,0.97977,1.45724,0.88635,0.91129,0.93992,0.6054,1.14945,0.72554,1.47655,0.003565,0.003565,0.003565
67,34419,1.07981,0.98362,1.46321,0.88409,0.89808,0.94489,0.61081,1.14949,0.69731,1.47335,0.003466,0.003466,0.003466
68,34915.3,1.06777,0.96209,1.45335,0.88648,0.90041,0.9372,0.61006,1.14331,0.69091,1.45924,0.003367,0.003367,0.003367
69,35416.7,1.05653,0.94889,1.43556,0.88109,0.90825,0.94755,0.60527,1.14898,0.68068,1.4531,0.003268,0.003268,0.003268
